"Name","VIP_scores"
"N6-Succino-2-amino-2'-deoxyadenylate",1.54430589272323
"PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",1.54381543534148
"Monocerin",1.53799904944183
"1-[(8Z,11Z,14Z)-icosatrienoyl]-sn-glycero-3-phosphocholine",1.53730460361758
"Hexylamine",1.53677544913907
"Triethanolamine",1.53485385814138
"N-Nervonoyl Glutamic acid",1.53310894027088
"4-[4-(3-Aminopropylamino)butylamino]-2-[2-[4-(3-aminopropylamino)butylamino]-2-oxoethyl]-2-hydroxy-4-oxobutanoic acid",1.53165870162604
"Secalciferol",1.5287842825059
"SM(d16:1/6 keto-PGF1alpha)",1.5281995380424
"SM(d18:2(4E,14Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))",1.5281995380424
"(2S,6S)-2,6-diaminoheptanedioic acid",1.52476425424722
"Dehydrophytosphingosine (not validated, isomer of 1677)",1.52273115662827
"1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid",1.52176486705973
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide",1.51782760638578
"Thiobenzamide S,S-dioxide",1.51630959557429
"PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.51387293276952
"4alpha-Carboxy-ergosta-7,24(24(1))-dien-3beta-ol",1.51121753967934
"Leucyl-alanine",1.51063276609457
"1-Peroxyferolide",1.5086597429413
"Saccharopine",1.50451403467671
"1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine",1.50351429756434
"Indolylmethyl-desulfoglucosinolate",1.50307727150518
"4alpha-Hydroxymethyl-ergosta-7,24(241)-dien-3beta-ol",1.50280511848142
"Flindersiamine",1.50023897621186
"6-deoxy-6-sulfo-D-fructofuranose",1.49967213825622
"Compactin diol lactone",1.49959308185554
"5-Aminoacenaphthene",1.49666448743719
"3-Hydroxy-4-isopropylbenzyl alcohol 3-glucoside",1.49570186824661
"L-Thioproline",1.49430998466935
"Tolclofos-methyl",1.49282060944216
"(1R,3R,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0^{1,11}.0^{3,7}.0^{7,11}.0^{13,17}]nonadecane-5,15,18-trione",1.49263652447994
"Niclosamide",1.49248973464165
"Losartan N2-glucuronide",1.4912288450887
"Norephedrine",1.4900889076749
"1-(9Z,12Z-octadecadienoyl)-glycero-3-phosphoethanolamine",1.48950773455133
"PS(14:0/Txb2)",1.48820510061696
"PA(14:0/22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17))",1.48634473379659
"Isoguanine",1.48144393274461
"Indole",1.47923962309374
"(3,4-Dimethoxyphenyl)methanol radical",1.47828010559951
"2,6-Diamino-4-nitrotoluene",1.47828010559951
"2-Trimethylaminoethylphosphonic acid",1.47828010559951
"1,2-Diacetoxy-4,7,8-trihydroxy-3-(4-hydroxyphenyl)dibenzofuran",1.47385048239724
"3-Hydroxytridecanoyl carnitine",1.47334566241008
"[hydroxy-[[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxo-pyrimidin-1-yl)tetrahydrofuran-2-yl]methoxy]phosphoryl] [(2R,6R)-4-hydroxy-6-methyl-5-oxo-2H-pyran-2-yl] hydrogen phosphate",1.47216715383102
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))",1.47047424328888
"Tiaprofenic Acid",1.47004742975559
"4-Methylhexanoylcarnitine",1.47000824631574
"Serylvalylglycylglutamic acid",1.46988531494319
"Methoxychlor olefin",1.46899130222752
"cis-Resveratrol 3-sulfate",1.46899130222752
"DG(10:0/20:4(6E,8Z,11Z,14Z)+=O(5)/0:0)",1.46731815761501
"Eudistomin C",1.46730894372899
